"Time (s)";"Acceleration x (m/s^2)";"Acceleration y (m/s^2)";"Acceleration z (m/s^2)";"Absolute acceleration (m/s^2)"
4.718517790E-1;7.661445439E-2;1.618480325E0;9.662998199E0;9.797901946E0
4.768871240E-1;2.873042040E-2;1.599326730E0;9.739612579E0;9.870092432E0
4.818919520E-1;8.619125932E-2;1.637633920E0;9.720458984E0;9.857819062E0
4.869272960E-1;1.915361360E-2;1.589749932E0;9.701305389E0;9.830717063E0
4.919626400E-1;-9.576806799E-3;1.618480325E0;9.605537415E0;9.740940370E0
4.969979850E-1;2.873042040E-2;1.608903527E0;9.643844604E0;9.777174170E0
5.020028130E-1;-3.830722719E-2;1.608903527E0;9.710882187E0;9.843336368E0
5.070381570E-1;1.915361360E-2;1.599326730E0;9.739612579E0;9.870069202E0
5.120735020E-1;-3.830722719E-2;1.656787634E0;9.758766174E0;9.898481194E0
5.171088470E-1;-1.149216816E-1;1.513135433E0;9.739612579E0;9.857121234E0
5.221441910E-1;-4.788403213E-2;1.532289028E0;9.806650162E0;9.925753873E0
5.271490190E-1;4.788403213E-2;1.541865945E0;9.758766174E0;9.879937283E0
5.321843630E-1;9.576806799E-3;1.589749932E0;9.720458984E0;9.849605039E0
5.372197080E-1;-4.788403213E-2;1.532289028E0;9.682151794E0;9.802768278E0
5.422550530E-1;-6.703764945E-2;1.561019540E0;9.777919769E0;9.901969050E0
5.472598800E-1;1.915361360E-2;1.541865945E0;9.768342972E0;9.889299362E0
5.522952240E-1;-7.661445439E-2;1.580173135E0;9.701305389E0;9.829452842E0
5.573305700E-1;9.576806799E-3;1.637633920E0;9.758766174E0;9.895223788E0
5.623659140E-1;-9.576806799E-3;1.685518026E0;9.749189377E0;9.893824146E0
5.674012590E-1;1.915361360E-2;1.599326730E0;9.730035782E0;9.860619107E0
5.724060860E-1;3.830722719E-2;1.618480325E0;9.749189377E0;9.882693940E0
5.774414310E-1;6.703764945E-2;1.637633920E0;9.710882187E0;9.848226833E0
5.824767750E-1;1.149216816E-1;1.589749932E0;9.605537415E0;9.736881475E0
5.875121200E-1;3.830722719E-2;1.618480325E0;9.615114212E0;9.750454724E0
5.925169470E-1;8.619125932E-2;1.675941229E0;9.672574997E0;9.817072629E0
5.975522930E-1;0.000000000E0;1.675941229E0;9.643844604E0;9.788386882E0
6.025876370E-1;1.915361360E-2;1.522712231E0;9.605537415E0;9.725500934E0
6.076229810E-1;1.628057212E-1;1.647210717E0;9.710882187E0;9.850941158E0
6.126583260E-1;1.915361360E-2;1.608903527E0;9.720458984E0;9.852728571E0
6.176631540E-1;4.788403213E-2;1.570596337E0;9.730035782E0;9.856097709E0
6.226984980E-1;1.436520964E-1;1.580173135E0;9.787496567E0;9.915274686E0
6.277338430E-1;2.873042040E-2;1.675941229E0;9.777919769E0;9.920550360E0
6.327691880E-1;1.915361360E-2;1.551442742E0;9.816226959E0;9.938091022E0
6.377740160E-1;2.873042040E-2;1.522712231E0;9.672574997E0;9.791740655E0
6.428093600E-1;8.619125932E-2;1.580173135E0;9.682151794E0;9.810628901E0
6.478447040E-1;-5.746084079E-2;1.570596337E0;9.739612579E0;9.865603266E0
6.528800490E-1;7.661445439E-2;1.570596337E0;9.749189377E0;9.875187904E0
6.579153940E-1;4.788403213E-2;1.551442742E0;9.653421402E0;9.777413371E0
6.629202210E-1;-2.873042040E-2;1.551442742E0;9.682151794E0;9.805705655E0
6.679555660E-1;2.873042040E-2;1.599326730E0;9.634267807E0;9.766155211E0
6.729909110E-1;5.746084079E-2;1.599326730E0;9.691728592E0;9.822970571E0
6.780262550E-1;0.000000000E0;1.608903527E0;9.643844604E0;9.777131958E0
6.830310830E-1;3.830722719E-2;1.666364431E0;9.710882187E0;9.852891490E0
6.880664270E-1;1.915361360E-2;1.714248419E0;9.758766174E0;9.908205274E0
6.931017720E-1;-2.873042040E-2;1.656787634E0;9.691728592E0;9.832363592E0
6.981371170E-1;-1.244984865E-1;1.561019540E0;9.672574997E0;9.798519733E0
7.031724620E-1;-1.628057212E-1;1.493981838E0;9.662998199E0;9.779162625E0
7.081772880E-1;-1.819593310E-1;1.522712231E0;9.672574997E0;9.793389036E0
7.132126340E-1;-1.436520964E-1;1.628057122E0;9.615114212E0;9.753031694E0
7.182479780E-1;-1.244984865E-1;1.561019540E0;9.624691010E0;9.751254222E0
7.232833230E-1;-2.106897533E-1;1.513135433E0;9.701305389E0;9.820860210E0
7.282881500E-1;-1.532289088E-1;1.484405041E0;9.624691010E0;9.739692729E0
7.333234950E-1;-1.915361285E-1;1.484405041E0;9.653421402E0;9.768760882E0
7.383588390E-1;-1.628057212E-1;1.484405041E0;9.720458984E0;9.834494745E0
7.433941850E-1;-2.298433632E-1;1.532289028E0;9.691728592E0;9.814802124E0
7.484295290E-1;-1.436520964E-1;1.522712231E0;9.739612579E0;9.858972647E0
7.534343570E-1;-2.202665508E-1;1.446097851E0;9.758766174E0;9.867787675E0
7.584697010E-1;-2.394201756E-1;1.493981838E0;9.662998199E0;9.780738109E0
7.635050460E-1;-2.298433632E-1;1.541865945E0;9.739612579E0;9.863581082E0
7.685403900E-1;-2.106897533E-1;1.551442742E0;9.701305389E0;9.826835249E0
7.735757350E-1;-1.532289088E-1;1.522712231E0;9.643844604E0;9.764521002E0
7.785805620E-1;-1.340752989E-1;1.570596337E0;9.624691010E0;9.752918849E0
7.836159080E-1;-1.053448766E-1;1.599326730E0;9.615114212E0;9.747787690E0
7.886512520E-1;-1.340752989E-1;1.532289028E0;9.653421402E0;9.775194659E0
7.936865960E-1;-3.830722719E-2;1.666364431E0;9.576807022E0;9.720775206E0
7.986914240E-1;-1.915361360E-2;1.637633920E0;9.720458984E0;9.857460859E0
8.037267690E-1;7.661445439E-2;1.570596337E0;9.672574997E0;9.799558648E0
8.087621130E-1;1.053448766E-1;1.561019540E0;9.682151794E0;9.807749126E0
8.137974580E-1;9.576806799E-3;1.561019540E0;9.662998199E0;9.788279109E0
8.188328030E-1;4.788403213E-2;1.561019540E0;9.662998199E0;9.788391547E0
8.238376300E-1;1.340752989E-1;1.589749932E0;9.643844604E0;9.774917892E0
8.288729750E-1;1.340752989E-1;1.522712231E0;9.691728592E0;9.811535651E0
8.339083190E-1;1.915361360E-2;1.656787634E0;9.662998199E0;9.804021947E0
8.389436640E-1;5.746084079E-2;1.551442742E0;9.710882187E0;9.834200993E0
8.439790090E-1;9.576806426E-2;1.561019540E0;9.615114212E0;9.741477036E0
8.489838360E-1;2.873042040E-2;1.570596337E0;9.710882187E0;9.837114980E0
8.540191810E-1;-9.576806799E-3;1.513135433E0;9.672574997E0;9.790218467E0
8.590545260E-1;-2.873042040E-2;1.561019540E0;9.758766174E0;9.882870266E0
8.640898700E-1;-3.830722719E-2;1.513135433E0;9.797073364E0;9.913308872E0
8.691252140E-1;-3.830722719E-2;1.522712231E0;9.825803757E0;9.943165464E0
8.741300420E-1;0.000000000E0;1.541865945E0;9.720458984E0;9.841985240E0
8.791653870E-1;-9.576806799E-3;1.608903527E0;9.710882187E0;9.843266486E0
8.842007320E-1;-2.873042040E-2;1.580173135E0;9.787496567E0;9.914275648E0
8.892360760E-1;-7.661445439E-2;1.580173135E0;9.768342972E0;9.895622331E0
8.942409030E-1;-7.661445439E-2;1.589749932E0;9.720458984E0;9.849898349E0
8.992762490E-1;1.915361360E-2;1.513135433E0;9.701305389E0;9.818618638E0
9.043115930E-1;3.830722719E-2;1.541865945E0;9.662998199E0;9.785313088E0
9.093469370E-1;3.830722719E-2;1.599326730E0;9.653421402E0;9.785083454E0
9.143822830E-1;-1.915361360E-2;1.570596337E0;9.730035782E0;9.856000002E0
9.193871100E-1;0.000000000E0;1.541865945E0;9.595960617E0;9.719043716E0
9.244224540E-1;-4.788403213E-2;1.561019540E0;9.682151794E0;9.807300253E0
9.294577990E-1;-9.576806799E-3;1.580173135E0;9.682151794E0;9.810254952E0
9.344931440E-1;2.873042040E-2;1.541865945E0;9.720458984E0;9.842027174E0
9.395284880E-1;-3.830722719E-2;1.484405041E0;9.653421402E0;9.766958100E0
9.445333160E-1;-3.830722719E-2;1.484405041E0;9.672574997E0;9.785889476E0
9.495686600E-1;0.000000000E0;1.532289028E0;9.605537415E0;9.726986105E0
9.546040050E-1;-3.830722719E-2;1.503558636E0;9.682151794E0;9.798276348E0
9.596393500E-1;-9.576806426E-2;1.426944256E0;9.634267807E0;9.739838685E0
9.646441770E-1;-3.830722719E-2;1.446097851E0;9.643844604E0;9.751738573E0
9.696795220E-1;-1.053448766E-1;1.484405041E0;9.662998199E0;9.776916184E0
9.747148670E-1;-7.661445439E-2;1.484405041E0;9.777919769E0;9.890249902E0
9.797502110E-1;-1.436520964E-1;1.417367458E0;9.758766174E0;9.862204808E0
9.847550390E-1;-2.394201756E-1;1.493981838E0;9.777919769E0;9.894292232E0
9.897903830E-1;-2.394201756E-1;1.426944256E0;9.749189377E0;9.855972070E0
9.948257280E-1;-2.011129409E-1;1.541865945E0;9.768342972E0;9.891325564E0
9.998610730E-1;-1.723825186E-1;1.503558636E0;9.797073364E0;9.913276492E0
1.004865900E0;-2.011129409E-1;1.541865945E0;9.768342972E0;9.891325564E0
1.009901245E0;-1.628057212E-1;1.541865945E0;9.768342972E0;9.890620846E0
1.014936590E0;-8.619125932E-2;1.589749932E0;9.701305389E0;9.831076240E0
1.019971934E0;-9.576806426E-2;1.570596337E0;9.749189377E0;9.875355076E0
1.025007278E0;-7.661445439E-2;1.589749932E0;9.710882187E0;9.840447524E0
1.030012106E0;-9.576806426E-2;1.493981838E0;9.749189377E0;9.863460182E0
1.035047451E0;-1.053448766E-1;1.484405041E0;9.768342972E0;9.881046518E0
1.040082796E0;-1.149216816E-1;1.589749932E0;9.634267807E0;9.765225446E0
1.045118140E0;-6.703764945E-2;1.541865945E0;9.720458984E0;9.842213547E0
1.050122967E0;-6.703764945E-2;1.522712231E0;9.586383820E0;9.706796656E0
1.055158313E0;-1.149216816E-1;1.599326730E0;9.682151794E0;9.814026511E0
1.060193657E0;-1.053448766E-1;1.522712231E0;9.615114212E0;9.735510844E0
1.065229001E0;-1.053448766E-1;1.570596337E0;9.576807022E0;9.705313140E0
1.070264347E0;-1.244984865E-1;1.551442742E0;9.567230225E0;9.693006171E0
1.075269174E0;-1.436520964E-1;1.599326730E0;9.576807022E0;9.710495078E0
1.080304518E0;-5.746084079E-2;1.580173135E0;9.653421402E0;9.782064897E0
1.085339863E0;-1.723825186E-1;1.570596337E0;9.662998199E0;9.791323853E0
1.090375208E0;-1.436520964E-1;1.637633920E0;9.720458984E0;9.858488913E0
1.095410552E0;-1.340752989E-1;1.628057122E0;9.739612579E0;9.875656909E0
1.100415380E0;-1.436520964E-1;1.522712231E0;9.710882187E0;9.830591097E0
1.105450724E0;-1.819593310E-1;1.551442742E0;9.825803757E0;9.949196111E0
1.110486069E0;-1.149216816E-1;1.493981838E0;9.825803757E0;9.939396772E0
1.115521414E0;-1.628057212E-1;1.493981838E0;9.806650162E0;9.921132739E0
1.120526241E0;-2.106897533E-1;1.446097851E0;9.873687744E0;9.981247359E0
1.125561586E0;-2.011129409E-1;1.541865945E0;9.816226959E0;9.938617043E0
1.130596931E0;-1.149216816E-1;1.388636947E0;9.883264542E0;9.981003835E0
1.135632275E0;-8.619125932E-2;1.426944256E0;9.816226959E0;9.919773715E0
1.140667620E0;-1.436520964E-1;1.484405041E0;9.768342972E0;9.881529166E0
1.145672447E0;-1.340752989E-1;1.513135433E0;9.691728592E0;9.810053931E0
1.150707792E0;-1.340752989E-1;1.426944256E0;9.662998199E0;9.768709244E0
1.155743137E0;-1.436520964E-1;1.513135433E0;9.672574997E0;9.791267632E0
1.160778482E0;-1.149216816E-1;1.493981838E0;9.643844604E0;9.759555701E0
