"Time (s)";"Acceleration x (m/s^2)";"Acceleration y (m/s^2)";"Acceleration z (m/s^2)";"Absolute acceleration (m/s^2)"
6.213255400E-1;-1.331176162E0;1.187524080E0;9.758766174E0;9.920471796E0
6.263608770E-1;-1.235408068E0;1.110909581E0;9.682151794E0;9.823666147E0
6.313656960E-1;-1.283292055E0;1.168370485E0;9.643844604E0;9.798758434E0
6.364010320E-1;-1.254561663E0;1.130063176E0;9.701305389E0;9.847146491E0
6.414363690E-1;-1.254561663E0;1.130063176E0;9.701305389E0;9.847146491E0
6.464411880E-1;-1.359906554E0;1.120486379E0;9.691728592E0;9.850606005E0
6.514765250E-1;-1.273715258E0;1.110909581E0;9.701305389E0;9.847425903E0
6.565118610E-1;-1.235408068E0;1.130063176E0;9.710882187E0;9.854162000E0
6.615471970E-1;-1.312022567E0;1.168370485E0;9.797073364E0;9.953348146E0
6.665520170E-1;-1.350329757E0;1.130063176E0;9.758766174E0;9.916347638E0
6.715873540E-1;-1.283292055E0;1.187524080E0;9.797073364E0;9.951869093E0
6.766226900E-1;-1.312022567E0;1.168370485E0;9.816226959E0;9.972201589E0
6.816275090E-1;-1.350329757E0;1.225831270E0;9.844957352E0;1.001245415E1
6.866628450E-1;-1.312022567E0;1.149216771E0;9.806650162E0;9.960546662E0
6.916981820E-1;-1.369483352E0;1.177947283E0;9.902418137E0;1.006582979E1
6.967030010E-1;-1.312022567E0;1.177947283E0;9.844957352E0;1.000160728E1
7.017383380E-1;-1.321599364E0;1.168370485E0;9.931148529E0;1.008659633E1
7.067736740E-1;-1.225831270E0;1.101332784E0;9.911994934E0;1.004804657E1
7.118090110E-1;-1.302445769E0;1.063025594E0;9.921571732E0;1.006300025E1
7.168138290E-1;-1.254561663E0;1.110909581E0;9.911994934E0;1.005264585E1
7.218491670E-1;-1.292868972E0;1.139639974E0;9.844957352E0;9.994672316E0
7.268845030E-1;-1.264138460E0;1.149216771E0;9.835380554E0;9.982657756E0
7.318893220E-1;-1.235408068E0;1.101332784E0;9.758766174E0;9.898115186E0
7.369246580E-1;-1.302445769E0;1.216254473E0;9.691728592E0;9.854199258E0
7.419599950E-1;-1.197100878E0;1.149216771E0;9.691728592E0;9.832769335E0
7.469953310E-1;-1.292868972E0;1.187524080E0;9.634267807E0;9.792897416E0
7.520001510E-1;-1.264138460E0;1.187524080E0;9.548076630E0;9.704330312E0
7.570354870E-1;-1.254561663E0;1.177947283E0;9.605537415E0;9.758474972E0
7.620708240E-1;-1.350329757E0;1.063025594E0;9.567230225E0;9.720355345E0
7.670756430E-1;-1.273715258E0;1.187524080E0;9.586383820E0;9.743270433E0
7.721109790E-1;-1.312022567E0;1.187524080E0;9.595960617E0;9.757770074E0
7.771463150E-1;-1.321599364E0;1.043871999E0;9.624691010E0;9.770924760E0
7.821816530E-1;-1.302445769E0;1.177947283E0;9.615114212E0;9.774167284E0
7.871864720E-1;-1.302445769E0;1.177947283E0;9.634267807E0;9.793009801E0
7.922218080E-1;-1.331176162E0;1.197100878E0;9.691728592E0;9.855692953E0
7.972571440E-1;-1.264138460E0;1.149216771E0;9.662998199E0;9.812862958E0
8.022619640E-1;-1.350329757E0;1.158793569E0;9.710882187E0;9.872559234E0
8.072973010E-1;-1.350329757E0;1.130063176E0;9.730035782E0;9.888075119E0
8.123326370E-1;-1.388636947E0;1.139639974E0;9.653421402E0;9.819146429E0
8.173374560E-1;-1.388636947E0;1.130063176E0;9.662998199E0;9.827455904E0
8.223727920E-1;-1.302445769E0;1.149216771E0;9.768342972E0;9.921571881E0
8.274081280E-1;-1.283292055E0;1.235408068E0;9.691728592E0;9.854068941E0
8.324434650E-1;-1.359906554E0;1.158793569E0;9.758766174E0;9.920971002E0
8.374482850E-1;-1.359906554E0;1.177947283E0;9.730035782E0;9.894973570E0
8.424836210E-1;-1.407790542E0;1.158793569E0;9.730035782E0;9.899407713E0
8.475189570E-1;-1.369483352E0;1.130063176E0;9.701305389E0;9.862446638E0
8.525542940E-1;-1.398213744E0;1.120486379E0;9.710882187E0;9.874802492E0
8.575591130E-1;-1.312022567E0;1.139639974E0;9.758766174E0;9.912300426E0
8.625944500E-1;-1.388636947E0;1.187524080E0;9.739612579E0;9.909519625E0
8.676297860E-1;-1.331176162E0;1.082179189E0;9.643844604E0;9.795247854E0
8.726346050E-1;-1.340752959E0;1.168370485E0;9.586383820E0;9.749946811E0
8.776699420E-1;-1.321599364E0;1.149216771E0;9.682151794E0;9.839277790E0
8.827052780E-1;-1.312022567E0;1.177947283E0;9.595960617E0;9.756609205E0
8.877406140E-1;-1.264138460E0;1.168370485E0;9.662998199E0;9.815124545E0
8.927454340E-1;-1.321599364E0;1.235408068E0;9.730035782E0;9.896790100E0
8.977807710E-1;-1.340752959E0;1.225831270E0;9.653421402E0;9.822872572E0
9.028161070E-1;-1.292868972E0;1.197100878E0;9.710882187E0;9.869437347E0
9.078209260E-1;-1.331176162E0;1.168370485E0;9.653421402E0;9.814563889E0
9.128562620E-1;-1.312022567E0;1.197100878E0;9.739612579E0;9.900227620E0
9.178915990E-1;-1.273715258E0;1.187524080E0;9.730035782E0;9.884642650E0
9.229269360E-1;-1.321599364E0;1.187524080E0;9.730035782E0;9.890926885E0
9.279317550E-1;-1.340752959E0;1.168370485E0;9.758766174E0;9.919487151E0
9.329670910E-1;-1.302445769E0;1.130063176E0;9.777919769E0;9.928802686E0
9.380024280E-1;-1.321599364E0;1.149216771E0;9.816226959E0;9.971240433E0
9.430072470E-1;-1.350329757E0;1.101332784E0;9.777919769E0;9.931970568E0
9.480425840E-1;-1.340752959E0;1.091755986E0;9.653421402E0;9.807043102E0
9.530779200E-1;-1.369483352E0;1.063025594E0;9.749189377E0;9.902131163E0
9.581132570E-1;-1.407790542E0;1.082179189E0;9.701305389E0;9.862469887E0
9.631180750E-1;-1.369483352E0;1.043871999E0;9.758766174E0;9.909524239E0
9.681534120E-1;-1.446097851E0;1.063025594E0;9.730035782E0;9.894181054E0
9.731887480E-1;-1.369483352E0;1.158793569E0;9.701305389E0;9.865779921E0
9.781935680E-1;-1.350329757E0;1.053448796E0;9.691728592E0;9.841887416E0
9.832289040E-1;-1.369483352E0;1.101332784E0;9.749189377E0;9.906316775E0
9.882642410E-1;-1.273715258E0;1.158793569E0;9.643844604E0;9.796371361E0
9.932690600E-1;-1.359906554E0;1.216254473E0;9.710882187E0;9.880782035E0
9.983043960E-1;-1.312022567E0;1.158793569E0;9.730035782E0;9.886243071E0
1.003339733E0;-1.340752959E0;1.168370485E0;9.701305389E0;9.862962757E0
1.008375070E0;-1.292868972E0;1.110909581E0;9.701305389E0;9.849921651E0
1.013379889E0;-1.331176162E0;1.187524080E0;9.768342972E0;9.929892639E0
1.018415225E0;-1.225831270E0;1.177947283E0;9.749189377E0;9.896308181E0
1.023450561E0;-1.273715258E0;1.216254473E0;9.739612579E0;9.897559229E0
1.028455381E0;-1.283292055E0;1.216254473E0;9.768342972E0;9.927065924E0
1.033490718E0;-1.312022567E0;1.139639974E0;9.816226959E0;9.968876276E0
1.038526054E0;-1.340752959E0;1.139639974E0;9.768342972E0;9.925569111E0
1.043561390E0;-1.350329757E0;1.168370485E0;9.825803757E0;9.986736179E0
1.048566209E0;-1.254561663E0;1.206677675E0;9.691728592E0;9.846806542E0
1.053601546E0;-1.302445769E0;1.187524080E0;9.643844604E0;9.803586955E0
1.058636882E0;-1.225831270E0;1.149216771E0;9.682151794E0;9.826872588E0
