"Time (s)";"Acceleration x (m/s^2)";"Acceleration y (m/s^2)";"Acceleration z (m/s^2)";"Absolute acceleration (m/s^2)"
1.470655415E0;2.873042040E-2;5.267243981E-1;1.008437729E1;1.009816465E1
1.475690749E0;-2.873042040E-2;6.416460276E-1;1.010353088E1;1.012392569E1
1.480726082E0;-2.873042040E-2;6.129156351E-1;1.012268448E1;1.014126383E1
1.485761415E0;1.915361360E-2;6.033388376E-1;1.004607010E1;1.006418944E1
1.490766231E0;2.873042040E-2;5.937620401E-1;1.002691650E1;1.004452256E1
1.495801565E0;6.703764945E-2;6.703764796E-1;1.002691650E1;1.004952503E1
1.500836898E0;1.915361360E-2;6.224924326E-1;9.998186111E0;1.001756404E1
1.505841715E0;3.830722719E-2;5.746083856E-1;1.002691650E1;1.004344049E1
1.510877048E0;1.915361360E-2;6.703764796E-1;9.854534149E0;9.877328322E0
1.515912382E0;2.873042040E-2;6.895300746E-1;9.892841339E0;9.916883932E0
1.520917198E0;2.873042040E-2;6.607996821E-1;9.806650162E0;9.828930209E0
1.525952532E0;4.788403213E-2;7.278373241E-1;9.787496567E0;9.814638511E0
1.530987865E0;3.830722719E-2;6.512228847E-1;9.720458984E0;9.742324238E0
1.536023198E0;4.788403213E-2;5.363011956E-1;9.653421402E0;9.668425757E0
1.541028014E0;6.703764945E-2;5.650315881E-1;9.538499832E0;9.555455708E0
1.546063348E0;4.788403213E-2;6.991068721E-1;9.557653427E0;9.583307484E0
1.551098681E0;9.576806426E-2;7.182605267E-1;9.605537415E0;9.632830255E0
1.556103498E0;1.532289088E-1;7.182605267E-1;9.615114212E0;9.643121828E0
1.561138831E0;2.873042040E-2;6.895300746E-1;9.643844604E0;9.668506395E0
1.566174165E0;1.053448766E-1;7.374141216E-1;9.586383820E0;9.615281164E0
1.571209498E0;6.703764945E-2;7.469909191E-1;9.605537415E0;9.634772364E0
1.576214315E0;7.661445439E-2;7.852981687E-1;9.615114212E0;9.647434078E0
1.581249648E0;8.619125932E-2;6.416460276E-1;9.643844604E0;9.665551061E0
1.586284982E0;0.000000000E0;5.650315881E-1;9.643844604E0;9.660382987E0
1.591289797E0;-5.746084079E-2;6.607996821E-1;9.701305389E0;9.723954146E0
1.596325131E0;-6.703764945E-2;6.607996821E-1;9.749189377E0;9.771788156E0
